report,llm,example,direction,data_metric,stat,median,min,max
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,n,10,10,10
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,range,0.0602411278469052,0,0.195956483211535
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,mean,0.893076501903334,0.751041642063375,0.996666666666667
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,median,0.892054238084986,0.732154747762005,1
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,SD,0.0227175288111899,0,0.0577374868848347
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,CV_pct,2.47,0,7.6876545388628
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,MedianCV_pct,1.02563278276872,0,3.68682453295469
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,CI_width,0.0325022822433445,0,0.0826058199529145
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,mean_median_diff_pct,0.47554340102651,0,2.57963147259538
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,n,10,10,10
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,range,0.0686403644976099,0,0.194082633053221
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,mean,0.868328348276653,0.771552950595504,0.998611111111111
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,median,0.865610975573025,0.767179487179487,1
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,SD,0.0229299753062055,0,0.069088900077827
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,CV_pct,2.8018646602001,0,7.96635017491506
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,MedianCV_pct,1.37870011882137,0,6.78418828484555
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,CI_width,0.0328062323780617,0,0.0988464435931815
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,mean_median_diff_pct,0.617202496741573,0,2.68782027048213
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,n,10,10,10
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,range,0.0336937010288239,0.00628393888473511,0.0553399324417114
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,mean,0.753493294119835,0.680956447124481,0.824673736095429
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,median,0.750431343913078,0.679799407720566,0.835146933794022
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,SD,0.0110582174868494,0.00207592391339812,0.0205075594705503
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,CV_pct,1.46385036244864,0.252116030558408,2.78417655726903
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,MedianCV_pct,0.6643728511475,0.063454985578083,1.85988025729547
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,CI_width,0.0158211444938865,0.00297005301543796,0.0293404485837245
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,mean_median_diff_pct,0.226806565583195,0.0242327706930372,1.25405449925009
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,n,10,10,10
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,range,0.071472991272515,0.0216982563336691,0.200154835527593
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,mean,0.517178101918277,0.431182817618052,0.7738011687994
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,median,0.513725208254422,0.431165177907263,0.763965778880649
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,SD,0.02472586617133,0.00716059458380674,0.0566950727416583
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,CV_pct,4.51344214029647,1.53138554436634,9.55252237449071
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,MedianCV_pct,1.93282127018419,0.0472568259018707,7.12100115842429
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,CI_width,0.0353756382435347,0.0102447615727645,0.0811144236405088
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,mean_median_diff_pct,1.13505299412825,0.00409117240758648,3.27864348311297
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_1,n,10,10,10
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_1,range,0,0,0.0360145495311054
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_1,mean,0.943025141930251,0.786804108042914,1
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_1,median,0.943025141930251,0.784398078828602,1
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_1,SD,0,0,0.013607275448847
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_1,CV_pct,0,0,1.4707288548481
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_1,MedianCV_pct,0,0,1.33673324021512
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_1,CI_width,0,0,0.0194681169275555
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_1,mean_median_diff_pct,0,0,0.717492193625576
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,n,10,10,10
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,range,0,0,0.0422568285749598
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,mean,0.916666666666667,0.809918523345395,1
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,median,0.916666666666667,0.80675428988682,1
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,SD,1.1702778228589E-16,0,0.0166929893520324
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,CV_pct,1.1702778228589E-14,0,1.93299368293926
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,MedianCV_pct,0,0,1.99686951572358
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,CI_width,2.22044604925031E-16,0,0.0238828904285422
report_anthropic_domain_t2t,anthropic,domain,t2t,model_eval_2,mean_median_diff_pct,1.11022302462516E-14,0,1.00222933023167
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,n,10,10,10
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,range,0.0267870128154755,0.00340563058853149,0.0529338121414185
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,mean,0.777589908242226,0.716615235805512,0.840417861938477
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,median,0.778422594070435,0.713916212320328,0.844972848892212
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,SD,0.00886859846384729,0.00160227031327954,0.0199863367192327
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,CV_pct,1.11037058418917,0.21912736706359,2.58156270663013
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,MedianCV_pct,0.54822645163734,0,2.04253665540721
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,CI_width,0.0126884263147879,0.00229239026767258,0.0285947279943164
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_1,mean_median_diff_pct,0.249961837992238,0.00494539047396126,1.15408886264238
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,n,10,10,10
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,range,0.0658461483252817,0.00170281529426575,0.184092128818685
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,mean,0.551622071661869,0.462152353922526,0.80774526180041
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,median,0.552996623728957,0.462195551111585,0.824393656518724
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,SD,0.0220968508750691,0.000801135156639768,0.0545173597317373
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,CV_pct,4.02160588316385,0.147220419453398,6.99211988276799
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,MedianCV_pct,1.1760674389422,0,6.28530921436232
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,CI_width,0.0316142697473693,0.00114619513383629,0.0779987395587707
report_anthropic_domain_t2t,anthropic,domain,t2t,text_eval_2,mean_median_diff_pct,1.03800039147187,0.104034456444433,2.7965747023634
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,n,10,10,10
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,range,0.0219660079251678,0,0.241379310344828
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,mean,0.990065681444992,0.641379310344828,1
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,median,1,0.689655172413793,1
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,SD,0.00790808563776179,0,0.0952427454221872
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,CV_pct,0.88,0,14.8215577979465
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,MedianCV_pct,0,0,6.2793234654308
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,CI_width,0.0113142073479606,0,0.136265111362735
report_anthropic_mad_m2m,anthropic,mad,m2m,model_eval_1,mean_median_diff_pct,0.163632596273177,0,8.10126582278481
