report,llm,example,direction,data_metric,stat,median,min,max
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,n,10.0,10.0,10.0
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,range,0.07486051032941321,0.0,0.19595648321153514
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,mean,0.8936025732857397,0.7510416420633749,0.9966666666666667
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,median,0.8909295278601932,0.7321547477620048,1.0
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,SD,0.024429250598450053,0.0,0.057737486884834745
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,CV_pct,2.8301693425975305,0.0,7.687654538862801
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,MedianCV_pct,1.151848345,0.0,3.6868245329546885
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,CI_width,0.03495126624657847,0.0,0.0826058199529145
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_1,mean_median_diff_pct,0.7437112386778142,0.0,2.579631472595384
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,n,10.0,10.0,10.0
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,range,0.0807747166773853,0.0,0.19408263305322115
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,mean,0.8842906830417051,0.7715529505955037,0.9986111111111111
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,median,0.8823665237693324,0.7671794871794873,1.0
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,SD,0.02724611725651525,0.0,0.06908890007782696
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,CV_pct,3.190298987181384,0.0,7.966350174915061
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,MedianCV_pct,1.6224344503979256,0.0,6.784188284845552
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,CI_width,0.038981396280669364,0.0,0.09884644359318151
report_anthropic_domain_m2m,anthropic,domain,m2m,model_eval_2,mean_median_diff_pct,0.8366662338485041,0.0,2.687820270482129
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,n,10.0,10.0,10.0
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,range,0.03310538828372955,0.006283938884735107,0.055339932441711426
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,mean,0.7594510696828366,0.6809564471244812,0.8246737360954285
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,median,0.7597245536744595,0.6797994077205658,0.8351469337940216
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,SD,0.010989875376450913,0.0020759239133981166,0.020507559470550298
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,CV_pct,1.4551014720670512,0.2521160305584084,2.7841765572690256
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,MedianCV_pct,0.8195157189674344,0.06345498557808303,1.8598802572954747
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,CI_width,0.015723366492602225,0.0029700530154379567,0.029340448583724532
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_1,mean_median_diff_pct,0.34262654396125525,0.024232770693037184,1.2540544992500922
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,n,10.0,10.0,10.0
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,range,0.08043009154685075,0.021698256333669064,0.2001548355275934
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,mean,0.5425605858341706,0.4311828176180522,0.7738011687994003
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,median,0.5424215455668011,0.43116517790726255,0.7639657788806491
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,SD,0.02684920051919019,0.007160594583806739,0.05669507274165825
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,CV_pct,4.852249102539787,1.5313855443663447,9.552522374490714
report_anthropic_domain_m2m,anthropic,domain,m2m,text_eval_2,MedianCV_pct,2.575346967908785,0.04725682590187074,7.121001158424294
