llm,example,direction,data_metric,CV_pct,MedianCV_pct,CI_width,mean_median_diff_pct,verdict,recommendation
anthropic,domain,m2m,model_eval_1,2.8301693425975305,1.151848345,0.03495126624657847,0.7437112386778142,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,domain,m2m,model_eval_2,3.190298987181384,1.6224344503979256,0.038981396280669364,0.8366662338485041,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,domain,m2m,text_eval_1,1.4551014720670512,0.8195157189674344,0.015723366492602225,0.34262654396125525,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,domain,m2m,text_eval_2,4.852249102539787,2.575346967908785,0.038413522022387715,1.148385175712499,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,domain,t2t,model_eval_1,0.22906085238610738,0.05569721834229672,0.0029626910810827225,0.09099352819660737,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,domain,t2t,model_eval_2,0.24543266871798755,0.08320289648848235,0.0030576609013704035,0.10243866530910001,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,domain,t2t,text_eval_1,1.29154766752489,0.6296406075196241,0.014206037930997756,0.36135795714467794,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,domain,t2t,text_eval_2,3.765426861572543,1.4166815631415524,0.03120658112798716,1.1712498772008644,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,mad,m2m,model_eval_1,1.655516488485623,0.36752922314296466,0.02172324791289952,0.6430004751750704,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,mad,m2m,model_eval_2,2.3265225680030075,0.5094760725214368,0.029656856866735134,0.9154388413198401,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,mad,m2m,text_eval_1,1.2988124357395903,0.7839156609768929,0.015446605671749592,0.23666140470707656,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,mad,m2m,text_eval_2,6.299590188379104,3.172134074903266,0.06263584705463468,1.6897085015388356,Acceptable,"CV between 5% and 10%: outputs are usable, but note the higher variability."
anthropic,mad,t2t,model_eval_1,0.582919811602752,0.08287483441485852,0.007830985164624247,0.2414184940830467,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,mad,t2t,model_eval_2,0.7416082279745835,0.12007837600186304,0.009791038866306606,0.29645456847505824,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,mad,t2t,text_eval_1,1.1388671058401758,0.5556741066411537,0.013577453089768033,0.3089564737156751,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,mad,t2t,text_eval_2,5.781464533502994,2.473346784661362,0.05920256909800214,1.5418474873355854,Acceptable,"CV between 5% and 10%: outputs are usable, but note the higher variability."
anthropic,pet,m2m,model_eval_1,3.7278165342652425,1.7641840036542675,0.04573802794125921,1.224837484565433,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,pet,m2m,model_eval_2,3.7853146416117682,1.4755991839085925,0.046984188410624676,1.2946996146050176,Moderate consistency,CV between 2% and 5%: outputs show moderate variability across trials.
anthropic,pet,m2m,text_eval_1,1.8123918230441172,0.9935150076420264,0.02242914440893903,0.3946704885265123,High consistency,CV below 2%: outputs are highly consistent across trials.
anthropic,pet,m2m,text_eval_2,6.9021352704515575,3.6822560908613617,0.06428192484361955,1.8080932708895592,Acceptable,"CV between 5% and 10%: outputs are usable, but note the higher variability."
